estimate_id,category,fy,mgmt_value,actual_value
E001,ECL Stage 1,2021,80000,82000
E001,ECL Stage 1,2022,95000,88000
E001,ECL Stage 1,2023,110000,98000
E001,ECL Stage 1,2024,125000,112000
E002,ECL Stage 2,2021,1200000,1400000
E002,ECL Stage 2,2022,1350000,1520000
E002,ECL Stage 2,2023,1500000,1680000
E002,ECL Stage 2,2024,1650000,1830000
E003,Warranty provision,2021,450000,390000
E003,Warranty provision,2022,480000,410000
E003,Warranty provision,2023,510000,440000
E003,Warranty provision,2024,530000,460000
E004,Inventory NRV,2021,300000,305000
E004,Inventory NRV,2022,320000,315000
E004,Inventory NRV,2023,340000,345000
E004,Inventory NRV,2024,360000,352000
E005,Litigation provision,2021,200000,180000
E005,Litigation provision,2022,210000,235000
E005,Litigation provision,2023,225000,210000
E005,Litigation provision,2024,240000,265000
